period_date,year,month,month_name,year_month,quarter,is_pre_covid,is_covid_period,is_post_covid,covid_dummy,region_code,region_name,region_short,treatment_code,treatment_name,specialty_group,part_type,part_description,waiting_list_size,patients_within_18wks,patients_over_18wks,pct_within_18wks,waiting_over_52wks,total_patients,provider_count,commissioner_count
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,535761,338290,197471,63.1420,3071,,71,149
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,411936,263594,148342,63.9891,2241,,48,141
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1043146,665609,377537,63.8078,5321,,115,150
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,478105,278696,199409,58.2918,5701,,42,141
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,450585,284868,165717,63.2218,3266,,50,147
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,411919,201505,210414,48.9186,6895,,25,150
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,527455,272934,254521,51.7455,7009,,61,149
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,542850,286853,255997,52.8420,5838,,71,150
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,407826,214356,193470,52.5607,4008,,48,146
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1053799,562394,491405,53.3682,10991,,111,149
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,480297,238579,241718,49.6732,9689,,44,141
2020-06-01,2020,6,June     ,2020-06,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,454684,238181,216503,52.3839,6541,,50,151
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,419703,179393,240310,42.7428,10485,,25,149
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,556044,254859,301185,45.8343,11754,,61,150
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,596975,287074,309901,48.0881,10776,,73,154
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,428663,205845,222818,48.0202,6544,,48,145
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1088942,523119,565823,48.0392,18676,,111,149
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,500659,232825,267834,46.5037,14489,,45,144
2020-07-01,2020,7,July     ,2020-07,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,474105,219499,254606,46.2976,11075,,50,149
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,426663,209886,216777,49.1925,13442,,26,149
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,578304,307304,271000,53.1388,15619,,62,150
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,621232,341049,280183,54.8988,14022,,73,151
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,458089,255149,202940,55.6986,8948,,48,141
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1137628,620242,517386,54.5206,26114,,111,148
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,520449,278368,242081,53.4861,18207,,45,144
2020-08-01,2020,8,August   ,2020-08,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,496183,256503,239680,51.6952,15410,,50,149
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,432585,245286,187299,56.7024,16435,,26,149
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,594145,359785,234360,60.5551,19391,,62,150
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,640538,397449,243089,62.0492,17750,,73,151
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,481871,309281,172590,64.1834,11442,,48,145
